estacion,fecha,temperatura,humedad,presion,vel_viento,dir_viento,dir_viento_2,marea
meteo colonia,2022-05-01T23:30:00Z,15.5,65,1018.3,14.8,127,SE,NA
meteo colonia,2022-05-01T23:35:00Z,15.6,63,1018.3,16.9,143,SE,NA
meteo colonia,2022-05-01T23:40:00Z,15.7,58,1018.4,19,148,SSE,NA
meteo colonia,2022-05-01T23:45:00Z,15.7,56,1018.4,20.2,151,SSE,NA
meteo colonia,2022-05-01T23:50:00Z,15.7,56,1018.5,21,151,SSE,NA
meteo colonia,2022-05-01T23:55:00Z,15.6,60,1018.6,20.4,141,SE,NA
meteo colonia,2022-05-02T00:00:00Z,15.4,60,1018.6,21.4,136,SE,NA
meteo colonia,2022-05-02T00:05:00Z,15.4,58,1018.7,19.8,145,SE,NA
meteo colonia,2022-05-02T00:10:00Z,15.4,59,1018.8,19.6,138,SE,NA
meteo colonia,2022-05-02T00:15:00Z,15.4,60,1018.8,19,140,SE,NA
meteo colonia,2022-05-02T00:20:00Z,15.4,59,1018.8,19.6,141,SE,NA
meteo colonia,2022-05-02T00:25:00Z,15.3,60,1018.8,18.5,145,SE,NA
meteo colonia,2022-05-02T00:30:00Z,15.3,63,1018.8,22.5,140,SE,NA
meteo colonia,2022-05-02T00:35:00Z,15.3,62,1018.8,22.4,138,SE,NA
meteo colonia,2022-05-02T00:40:00Z,15.2,63,1018.9,20.6,145,SE,NA
meteo colonia,2022-05-02T00:45:00Z,15.2,63,1018.9,23.1,146,SE,NA
meteo colonia,2022-05-02T00:50:00Z,15.1,62,1019,23.7,147,SSE,NA
meteo colonia,2022-05-02T00:55:00Z,15,62,1019.1,20.8,144,SE,NA
meteo colonia,2022-05-02T01:00:00Z,15,65,1019.1,21,139,SE,NA
meteo colonia,2022-05-02T01:05:00Z,15,64,1019.2,20.6,140,SE,NA
meteo colonia,2022-05-02T01:10:00Z,15,64,1019.2,19.4,137,SE,NA
meteo colonia,2022-05-02T01:15:00Z,15,65,1019.4,20.6,136,SE,NA
meteo colonia,2022-05-02T01:20:00Z,15,66,1019.4,21.2,138,SE,NA
meteo colonia,2022-05-02T01:25:00Z,14.9,66,1019.4,22.2,136,SE,NA
meteo colonia,2022-05-02T01:30:00Z,14.9,68,1019.3,22.9,136,SE,NA
meteo colonia,2022-05-02T01:35:00Z,14.9,68,1019.5,19.8,134,SE,NA
meteo colonia,2022-05-02T01:40:00Z,14.9,69,1019.6,19.6,141,SE,NA
meteo colonia,2022-05-02T01:45:00Z,14.8,69,1019.6,22,145,SE,NA
meteo colonia,2022-05-02T01:50:00Z,14.8,71,1019.7,24.3,140,SE,NA
meteo colonia,2022-05-02T01:55:00Z,14.7,69,1019.7,21.2,140,SE,NA
meteo colonia,2022-05-02T02:00:00Z,14.7,68,1019.8,21.8,143,SE,NA
meteo colonia,2022-05-02T02:05:00Z,14.8,68,1020,18.3,141,SE,NA
meteo colonia,2022-05-02T02:10:00Z,14.7,66,1020.1,19.2,143,SE,NA
meteo colonia,2022-05-02T02:15:00Z,14.7,66,1020,19,143,SE,NA
meteo colonia,2022-05-02T02:20:00Z,14.7,68,1020,21.4,140,SE,NA
