fecha,temperatura,humedad,presion,vel_viento,dir_viento,dir_viento_2
2022-08-26T23:25:08Z,20.3,78,1007.6,9.9,42,NE
2022-08-26T23:20:10Z,20.3,78,1007.7,8.9,44,NE
2022-08-26T23:15:08Z,20.4,77,1007.8,8.9,41,NE
2022-08-26T23:10:10Z,20.5,77,1007.9,9.1,38,NE
2022-08-26T23:05:08Z,20.6,77,1008,8.4,37,NE
2022-08-26T23:00:10Z,20.7,76,1008.1,8.9,40,NE
2022-08-26T22:55:08Z,20.8,76,1008.1,8.9,38,NE
2022-08-26T22:50:10Z,21,75,1008.2,9.1,37,NE
2022-08-26T22:45:08Z,21.1,75,1008.2,8.2,40,NE
2022-08-26T22:40:10Z,21.2,74,1008.2,8.6,40,NE
2022-08-26T22:35:08Z,21.3,74,1008.2,7.2,38,NE
2022-08-26T22:30:10Z,21.4,75,1008.3,7.4,42,NE
2022-08-26T22:25:08Z,21.4,75,1008.4,6.6,46,NE
2022-08-26T22:20:10Z,21.5,75,1008.4,4.9,48,NE
2022-08-26T22:15:08Z,21.6,74,1008.4,4.1,58,ENE
2022-08-26T22:10:10Z,21.7,74,1008.4,4.9,39,NE
2022-08-26T22:05:08Z,21.8,73,1008.4,6.6,36,NE
2022-08-26T22:00:10Z,21.9,73,1008.4,5.4,37,NE
2022-08-26T21:55:08Z,22,73,1008.4,7,32,NNE
2022-08-26T21:50:10Z,22.2,72,1008.4,8,39,NE
2022-08-26T21:45:08Z,22.4,71,1008.4,8.4,37,NE
2022-08-26T21:40:10Z,22.6,70,1008.4,8.4,31,NNE
2022-08-26T21:35:08Z,22.8,69,1008.4,9.9,30,NNE
2022-08-26T21:30:10Z,22.9,69,1008.4,10.1,46,NE
2022-08-26T21:25:08Z,23.1,68,1008.5,11.5,42,NE
2022-08-26T21:20:10Z,23.2,67,1008.5,9.9,44,NE
2022-08-26T21:15:08Z,23.4,66,1008.7,9.3,66,ENE
2022-08-26T21:10:10Z,23.6,65,1008.8,10.7,54,NE
2022-08-26T21:05:08Z,23.7,65,1008.9,8.6,100,E
2022-08-26T21:00:10Z,23.8,64,1009,10.1,116,ESE
2022-08-26T20:55:08Z,23.9,64,1009.1,11.9,85,E
2022-08-26T20:50:10Z,24,63,1009.1,11.1,54,NE
2022-08-26T20:45:08Z,24.1,63,1009.1,9.3,66,ENE
2022-08-26T20:40:10Z,24.2,63,1009.2,10.5,70,ENE
2022-08-26T20:35:08Z,24.3,63,1009.4,11.3,88,E
2022-08-26T20:30:10Z,24.4,62,1009.5,10.7,129,SE
2022-08-26T20:25:08Z,24.5,62,1009.6,8.7,175,S
2022-08-26T20:20:10Z,24.6,62,1009.5,12.8,185,S
2022-08-26T20:15:08Z,24.6,62,1009.6,12.4,119,ESE
2022-08-26T20:10:10Z,24.4,62,1009.7,14.8,118,ESE
2022-08-26T20:05:08Z,23.9,63,1009.8,11.9,157,SSE
2022-08-26T20:00:10Z,23.6,64,1009.7,8.6,237,WSW
2022-08-26T19:55:08Z,23.1,65,1009.8,7.8,203,SSW
2022-08-26T19:50:10Z,23.6,63,1009.9,5.8,255,WSW
2022-08-26T19:45:08Z,24,63,1009.9,8.2,250,WSW
2022-08-26T19:40:10Z,22.2,69,1009.9,11.3,233,SW
2022-08-26T19:35:08Z,20.9,73,1010,7,296,WNW
2022-08-26T19:30:10Z,21.3,71,1010,12.6,236,SW
2022-08-26T19:25:08Z,19.8,77,1010.1,8.4,245,WSW
2022-08-26T19:20:10Z,19.7,77,1010.1,10.9,196,SSW
2022-08-26T19:15:08Z,19.3,78,1010.1,4.3,164,SSE
2022-08-26T19:10:10Z,19.2,79,1010.2,3.9,178,S
2022-08-26T19:05:08Z,18.7,81,1010.4,6,204,SSW
2022-08-26T19:00:10Z,19.2,79,1010.5,3.3,206,SSW
2022-08-26T18:55:08Z,19,79,1010.6,4.3,153,SSE
2022-08-26T18:50:10Z,19.1,79,1010.7,4.3,156,SSE
2022-08-26T18:45:08Z,19.2,79,1010.8,5.6,121,ESE
2022-08-26T18:40:10Z,19.4,78,1010.7,8.2,140,SE
2022-08-26T18:35:08Z,19.1,79,1010.8,8.7,136,SE
2022-08-26T18:30:10Z,19.5,77,1011,8.9,143,SE
2022-08-26T18:25:08Z,19.7,77,1011,8.6,146,SE
2022-08-26T18:20:10Z,19.3,78,1011.1,8.7,144,SE
2022-08-26T18:15:08Z,18.9,80,1011.2,7.2,133,SE
2022-08-26T18:10:10Z,19,79,1011.3,7.6,126,SE
2022-08-26T18:05:08Z,18.6,81,1011.4,10.1,133,SE
2022-08-26T18:00:10Z,17.8,85,1011.5,10.9,132,SE
2022-08-26T17:55:08Z,17.8,85,1011.7,6.8,179,S
2022-08-26T17:50:10Z,17.8,84,1011.8,8.7,120,ESE
2022-08-26T17:45:08Z,17.5,86,1011.8,9.7,107,ESE
2022-08-26T17:40:10Z,17.8,84,1011.9,9.9,107,ESE
2022-08-26T17:35:08Z,17.9,83,1012.1,10.3,106,ESE
2022-08-26T17:30:10Z,17.8,83,1012.2,9.7,109,ESE
2022-08-26T17:25:08Z,17.9,83,1012.2,11.5,101,E
2022-08-26T17:20:10Z,17.6,84,1012.3,10.3,104,ESE
2022-08-26T17:15:08Z,17.4,84,1012.4,8.2,103,ESE
2022-08-26T17:10:10Z,17.3,84,1012.5,8.7,102,ESE
2022-08-26T17:05:08Z,17.6,82,1012.5,7.2,108,ESE
2022-08-26T17:00:10Z,17.2,84,1012.7,6.6,107,ESE
2022-08-26T16:55:08Z,17,84,1012.7,6.8,108,ESE
2022-08-26T16:50:10Z,17.1,84,1012.9,7.2,108,ESE
