fecha,temperatura,humedad,presion,vel_viento,dir_viento,dir_viento_2
2022-05-03T23:25:09Z,16.6,72,1021.5,8.4,119,ESE
2022-05-03T23:20:11Z,16.6,72,1021.4,8.5,126,SE
2022-05-03T23:15:09Z,16.6,72,1021.4,8,124,SE
2022-05-03T23:10:11Z,16.6,73,1021.4,8.6,127,SE
2022-05-03T23:05:09Z,16.5,73,1021.4,8.3,126,SE
2022-05-03T23:00:10Z,16.6,73,1021.4,8.2,126,SE
2022-05-03T22:55:09Z,16.6,73,1021.4,8.3,118,ESE
2022-05-03T22:50:10Z,16.7,73,1021.4,8.7,125,SE
2022-05-03T22:45:09Z,16.6,73,1021.4,8.9,128,SE
2022-05-03T22:40:10Z,16.7,73,1021.4,8.9,129,SE
2022-05-03T22:35:08Z,16.7,73,1021.4,8.1,128,SE
2022-05-03T22:30:10Z,16.6,73,1021.4,8.9,125,SE
2022-05-03T22:25:09Z,16.6,73,1021.4,9.1,127,SE
2022-05-03T22:20:10Z,16.6,72,1021.4,8.9,128,SE
2022-05-03T22:15:08Z,16.6,72,1021.5,9,125,SE
2022-05-03T22:10:10Z,16.6,72,1021.4,8.8,123,ESE
2022-05-03T22:05:08Z,16.7,72,1021.4,8.5,124,SE
2022-05-03T22:00:10Z,16.6,71,1021.4,8.8,120,ESE
2022-05-03T21:55:08Z,16.6,72,1021.4,9,119,ESE
2022-05-03T21:50:10Z,16.6,71,1021.4,8.3,117,ESE
2022-05-03T21:45:08Z,16.6,72,1021.4,8.6,115,ESE
2022-05-03T21:40:10Z,16.6,72,1021.3,8.3,115,ESE
2022-05-03T21:35:08Z,16.6,71,1021.3,8.2,122,ESE
2022-05-03T21:30:10Z,16.7,71,1021.3,7.9,123,ESE
2022-05-03T21:25:08Z,16.6,71,1021.3,8.3,127,SE
2022-05-03T21:20:10Z,16.7,70,1021.3,8.6,130,SE
2022-05-03T21:15:08Z,16.7,70,1021.3,7.5,129,SE
2022-05-03T21:10:10Z,16.7,70,1021.3,7.8,137,SE
2022-05-03T21:05:08Z,16.7,69,1021.3,7.9,143,SE
2022-05-03T21:00:10Z,16.7,70,1021.3,7.6,142,SE
2022-05-03T20:55:08Z,16.7,71,1021.3,7.6,137,SE
2022-05-03T20:50:10Z,16.7,70,1021.4,7.4,138,SE
2022-05-03T20:45:08Z,16.8,69,1021.3,7.3,136,SE
2022-05-03T20:40:10Z,16.8,70,1021.3,7.1,135,SE
2022-05-03T20:35:08Z,16.8,69,1021.3,7.3,134,SE
2022-05-03T20:30:10Z,17,69,1021.4,6.8,139,SE
2022-05-03T20:25:08Z,16.9,67,1021.4,7,136,SE
2022-05-03T20:20:10Z,17,68,1021.4,6.7,134,SE
2022-05-03T20:15:08Z,16.9,67,1021.4,6.5,132,SE
2022-05-03T20:10:10Z,17,68,1021.4,6.6,131,SE
2022-05-03T20:05:08Z,17,67,1021.5,6.2,132,SE
2022-05-03T20:00:10Z,16.9,68,1021.5,6.4,126,SE
2022-05-03T19:55:08Z,17,68,1021.5,6.8,122,ESE
2022-05-03T19:50:10Z,17,68,1021.5,6.9,125,SE
2022-05-03T19:45:08Z,17,68,1021.5,6.8,129,SE
2022-05-03T19:40:10Z,17,68,1021.5,7.2,130,SE
2022-05-03T19:35:08Z,17,68,1021.5,7.4,127,SE
2022-05-03T19:30:10Z,17,68,1021.5,7.6,126,SE
2022-05-03T19:25:08Z,17,69,1021.5,7.7,124,SE
2022-05-03T19:20:10Z,17,68,1021.5,7.5,119,ESE
2022-05-03T19:15:08Z,17,66,1021.6,7.9,125,SE
2022-05-03T19:10:10Z,17.4,65,1021.6,7.4,114,ESE
2022-05-03T19:05:08Z,17.6,63,1021.6,7.5,110,ESE
2022-05-03T19:00:10Z,17.6,64,1021.5,7.4,113,ESE
2022-05-03T18:55:08Z,17.8,64,1021.5,7.1,107,ESE
2022-05-03T18:50:10Z,17.8,60,1021.5,7.5,101,E
2022-05-03T18:45:08Z,17.6,63,1021.4,8,102,ESE
2022-05-03T18:40:10Z,17.5,65,1021.4,7.7,103,ESE
2022-05-03T18:35:08Z,17.8,65,1021.4,8.3,96,E
2022-05-03T18:30:10Z,17.9,65,1021.5,7.9,97,E
2022-05-03T18:25:08Z,17.8,66,1021.4,8.3,98,E
2022-05-03T18:20:10Z,18.1,64,1021.5,8.3,98,E
2022-05-03T18:15:08Z,18,63,1021.4,8.2,96,E
2022-05-03T18:10:10Z,17.9,65,1021.4,8.3,98,E
2022-05-03T18:05:08Z,18,66,1021.4,8.5,102,ESE
2022-05-03T18:00:10Z,18,65,1021.5,8.2,100,E
2022-05-03T17:55:08Z,18.1,67,1021.5,8.3,98,E
2022-05-03T17:50:10Z,17.9,69,1021.5,8.4,98,E
2022-05-03T17:45:08Z,17.8,69,1021.5,8.5,105,ESE
2022-05-03T17:40:10Z,18,69,1021.6,8.5,103,ESE
2022-05-03T17:35:08Z,17.9,70,1021.5,8.4,103,ESE
2022-05-03T17:30:10Z,17.8,68,1021.6,9.1,107,ESE
2022-05-03T17:25:08Z,17.8,70,1021.6,8.6,103,ESE
2022-05-03T17:20:10Z,17.8,70,1021.5,8.3,110,ESE
2022-05-03T17:15:08Z,17.8,70,1021.6,9,113,ESE
2022-05-03T17:10:10Z,17.8,69,1021.7,9.3,112,ESE
2022-05-03T17:05:08Z,17.7,68,1021.7,9.5,109,ESE
2022-05-03T17:00:10Z,18.1,67,1021.7,8.5,111,ESE
2022-05-03T16:55:08Z,18.1,62,1021.8,8.6,109,ESE
2022-05-03T16:50:10Z,18.2,63,1021.8,7.9,105,ESE
2022-05-03T16:45:08Z,18.2,65,1021.8,8.6,107,ESE
2022-05-03T16:40:10Z,18,66,1021.8,8.7,109,ESE
2022-05-03T16:35:08Z,18,67,1021.9,8,118,ESE
2022-05-03T16:30:10Z,17.8,66,1022,8.8,116,ESE
2022-05-03T16:25:08Z,17.8,69,1022,8.7,115,ESE
2022-05-03T16:20:10Z,17.7,69,1022,8.6,118,ESE
2022-05-03T16:15:08Z,17.7,70,1022.1,8.7,117,ESE
2022-05-03T16:10:10Z,17.6,70,1022.1,8.8,117,ESE
2022-05-03T16:05:08Z,17.6,72,1022.1,9.1,124,SE
2022-05-03T16:00:10Z,17.7,72,1022.2,9.3,123,ESE
2022-05-03T15:55:08Z,17.7,70,1022.2,8.8,126,SE
2022-05-03T15:50:10Z,17.6,69,1022.3,8.1,127,SE
2022-05-03T15:45:08Z,17.6,69,1022.3,8.1,129,SE
2022-05-03T15:40:10Z,17.8,69,1022.4,8.7,128,SE
2022-05-03T15:35:08Z,18,69,1022.4,7.7,132,SE
2022-05-03T15:30:10Z,17.5,68,1022.4,7.7,126,SE
2022-05-03T15:25:08Z,17.5,69,1022.5,8.4,126,SE
2022-05-03T15:20:10Z,17.7,69,1022.5,7.6,133,SE
2022-05-03T15:15:08Z,17.7,66,1022.5,8.1,141,SE
2022-05-03T15:10:10Z,17.7,66,1022.5,7.8,126,SE
2022-05-03T15:05:08Z,17.6,66,1022.5,7,116,ESE
2022-05-03T15:00:10Z,17.3,67,1022.6,6.6,128,SE
2022-05-03T14:55:08Z,17,67,1022.7,5.9,133,SE
2022-05-03T14:50:10Z,17.1,66,1022.7,6.7,136,SE
2022-05-03T14:45:08Z,17,65,1022.7,5.1,135,SE
2022-05-03T14:40:10Z,16.9,68,1022.7,6.7,138,SE
2022-05-03T14:35:08Z,16.8,69,1022.8,7.1,125,SE
2022-05-03T14:30:10Z,16.6,71,1022.8,9.1,116,ESE
2022-05-03T14:25:08Z,16.6,73,1022.8,9.8,111,ESE
2022-05-03T14:20:10Z,16.5,75,1022.8,12.5,111,ESE
2022-05-03T14:15:08Z,16.5,75,1022.8,13.6,116,ESE
2022-05-03T14:10:10Z,16.6,77,1022.8,14,117,ESE
2022-05-03T14:05:08Z,16.9,76,1022.8,14,119,ESE
2022-05-03T14:00:10Z,17.3,70,1022.7,11.7,137,SE
2022-05-03T13:55:08Z,17.3,68,1022.7,9.9,149,SSE
2022-05-03T13:50:10Z,17.3,67,1022.7,9.1,155,SSE
2022-05-03T13:45:08Z,17.2,67,1022.7,8.7,161,SSE
2022-05-03T13:40:10Z,17.3,67,1022.7,9,161,SSE
2022-05-03T13:35:08Z,17.3,67,1022.8,9.5,156,SSE
2022-05-03T13:30:10Z,17.2,69,1022.8,9.8,146,SE
2022-05-03T13:25:08Z,17.1,68,1022.9,11,145,SE
2022-05-03T13:20:10Z,17.1,69,1022.9,11.7,148,SSE
2022-05-03T13:15:08Z,16.8,69,1023,12.3,150,SSE
2022-05-03T13:10:10Z,17.1,69,1023,12.6,151,SSE
2022-05-03T13:05:08Z,17.1,70,1023,12,150,SSE
2022-05-03T13:00:10Z,17.1,69,1023,13.1,154,SSE
2022-05-03T12:55:08Z,16.7,70,1023,10.7,154,SSE
2022-05-03T12:50:10Z,16.5,70,1022.9,10.1,156,SSE
2022-05-03T12:45:08Z,16.5,72,1022.9,9.2,162,SSE
2022-05-03T12:40:11Z,16.7,71,1022.8,9.3,156,SSE
2022-05-03T12:35:09Z,16.8,72,1022.9,9.7,163,SSE
2022-05-03T12:30:11Z,16.7,72,1022.9,9.2,158,SSE
