fecha,temperatura,humedad,presion,vel_viento,dir_viento,dir_viento_2
2022-05-05T23:10:10Z,16.3,89,1020.6,6.5,49,NE
2022-05-05T23:05:08Z,16.3,90,1020.6,6.1,55,NE
2022-05-05T23:00:10Z,16.4,91,1020.6,6.3,58,ENE
2022-05-05T22:55:08Z,16.5,91,1020.5,5.9,62,ENE
2022-05-05T22:50:10Z,16.7,91,1020.5,6.5,65,ENE
2022-05-05T22:45:08Z,16.7,91,1020.5,6.6,65,ENE
2022-05-05T22:40:10Z,16.7,90,1020.5,6.2,67,ENE
2022-05-05T22:35:08Z,16.7,90,1020.5,6.3,70,ENE
2022-05-05T22:30:10Z,16.7,90,1020.5,6.6,74,ENE
2022-05-05T22:25:08Z,16.7,90,1020.5,6.2,75,ENE
2022-05-05T22:20:10Z,16.7,90,1020.5,6.3,77,ENE
2022-05-05T22:15:08Z,16.7,89,1020.5,6.2,77,ENE
2022-05-05T22:10:10Z,16.6,90,1020.4,6,78,ENE
2022-05-05T22:05:08Z,16.5,90,1020.4,5.2,81,E
2022-05-05T22:00:10Z,16.6,90,1020.4,5.2,81,E
2022-05-05T21:55:08Z,16.6,90,1020.3,5.2,79,E
2022-05-05T21:50:10Z,16.6,90,1020.3,5.2,75,ENE
2022-05-05T21:45:08Z,16.6,90,1020.2,4.6,70,ENE
2022-05-05T21:40:10Z,16.6,89,1020.2,4.5,70,ENE
2022-05-05T21:35:08Z,16.6,89,1020.3,4.9,74,ENE
2022-05-05T21:30:10Z,16.6,89,1020.3,4.6,79,E
2022-05-05T21:25:08Z,16.6,88,1020.2,4.4,81,E
2022-05-05T21:20:10Z,16.7,88,1020.2,4.2,84,E
2022-05-05T21:15:08Z,16.7,88,1020.2,4.4,90,E
2022-05-05T21:10:10Z,16.7,87,1020.1,4.4,91,E
2022-05-05T21:05:08Z,16.8,87,1020.2,4.3,87,E
2022-05-05T21:00:09Z,16.9,87,1020.2,4.5,89,E
2022-05-05T20:55:08Z,17,86,1020.1,4.2,89,E
2022-05-05T20:50:10Z,17,85,1020.1,3.9,89,E
2022-05-05T20:45:08Z,17.1,84,1020.1,4,88,E
2022-05-05T20:40:10Z,17.1,84,1020.1,3.8,87,E
2022-05-05T20:35:08Z,17.2,84,1020.1,3.9,85,E
2022-05-05T20:30:10Z,17.3,83,1020.1,4.6,89,E
2022-05-05T20:25:09Z,17.4,82,1020.1,3.5,86,E
2022-05-05T20:20:10Z,17.6,82,1020.1,3.9,84,E
2022-05-05T20:15:09Z,17.6,82,1020.2,2.7,80,E
2022-05-05T20:10:10Z,17.6,81,1020.2,3.6,92,E
2022-05-05T20:05:09Z,17.7,81,1020.2,3.8,98,E
2022-05-05T20:00:10Z,17.7,81,1020.2,4.1,95,E
2022-05-05T19:55:09Z,17.6,80,1020.3,3.9,106,ESE
2022-05-05T19:50:10Z,17.6,80,1020.3,3.3,118,ESE
2022-05-05T19:45:09Z,17.7,80,1020.3,3.1,130,SE
2022-05-05T19:40:10Z,17.8,78,1020.3,3.3,128,SE
2022-05-05T19:35:09Z,17.9,78,1020.3,3.4,123,ESE
2022-05-05T19:30:10Z,18.1,78,1020.3,2.8,126,SE
2022-05-05T19:25:09Z,18.1,78,1020.3,2.3,138,SE
2022-05-05T19:20:10Z,18.1,77,1020.3,3.2,122,ESE
2022-05-05T19:15:08Z,18,77,1020.3,3,113,ESE
2022-05-05T19:10:10Z,18.2,75,1020.3,2.2,139,SE
2022-05-05T19:05:08Z,18.3,75,1020.3,3.2,152,SSE
2022-05-05T19:00:10Z,18.2,75,1020.3,3.9,145,SE
