fecha,marea
2022-06-15T23:25:02Z,1.445
2022-06-15T23:20:02Z,1.461
2022-06-15T23:15:02Z,1.482
2022-06-15T23:10:02Z,1.499
2022-06-15T23:05:02Z,1.523
2022-06-15T23:00:02Z,1.516
2022-06-15T22:55:02Z,1.469
2022-06-15T22:50:02Z,1.553
2022-06-15T22:45:02Z,1.508
2022-06-15T22:40:02Z,1.512
2022-06-15T22:35:02Z,1.547
2022-06-15T22:30:02Z,1.525
2022-06-15T22:25:02Z,1.516
2022-06-15T22:20:02Z,1.572
2022-06-15T22:15:02Z,1.523
2022-06-15T22:10:02Z,1.531
2022-06-15T22:05:02Z,1.514
2022-06-15T22:00:02Z,1.493
2022-06-15T21:55:02Z,1.498
2022-06-15T21:50:02Z,1.483
2022-06-15T21:45:02Z,1.515
2022-06-15T21:40:02Z,1.471
2022-06-15T21:35:02Z,1.435
2022-06-15T21:30:02Z,1.412
2022-06-15T21:25:02Z,1.442
2022-06-15T21:20:02Z,1.402
2022-06-15T21:15:02Z,1.422
2022-06-15T21:10:02Z,1.361
2022-06-15T21:05:02Z,1.38
2022-06-15T21:00:02Z,1.375
2022-06-15T20:55:02Z,1.33
2022-06-15T20:50:02Z,1.316
2022-06-15T20:45:02Z,1.307
2022-06-15T20:40:02Z,1.277
2022-06-15T20:35:02Z,1.293
2022-06-15T20:30:02Z,1.233
2022-06-15T20:25:02Z,1.242
2022-06-15T20:20:02Z,1.235
2022-06-15T20:15:02Z,1.22
2022-06-15T20:10:02Z,1.208
2022-06-15T20:05:02Z,1.227
2022-06-15T20:00:02Z,1.2
2022-06-15T19:55:02Z,1.171
2022-06-15T19:50:02Z,1.19
2022-06-15T19:45:02Z,1.147
2022-06-15T19:40:02Z,1.185
2022-06-15T19:35:02Z,1.16
2022-06-15T19:30:02Z,1.16
2022-06-15T19:25:02Z,1.125
2022-06-15T19:20:02Z,1.135
2022-06-15T19:15:02Z,1.12
2022-06-15T19:10:02Z,1.119
2022-06-15T19:05:02Z,1.083
2022-06-15T19:00:02Z,1.11
2022-06-15T18:55:02Z,1.095
2022-06-15T18:50:02Z,1.094
2022-06-15T18:45:02Z,1.139
2022-06-15T18:40:02Z,1.096
2022-06-15T18:35:02Z,1.059
2022-06-15T18:30:02Z,1.14
2022-06-15T18:25:02Z,1.062
2022-06-15T18:20:02Z,1.144
2022-06-15T18:15:02Z,1.083
2022-06-15T18:10:02Z,1.097
2022-06-15T18:05:02Z,1.126
2022-06-15T18:00:02Z,1.115
2022-06-15T17:55:02Z,1.113
2022-06-15T17:50:02Z,1.124
2022-06-15T17:45:02Z,1.137
2022-06-15T17:40:02Z,1.118
2022-06-15T17:35:02Z,1.134
2022-06-15T17:30:02Z,1.132
2022-06-15T17:25:02Z,1.15
2022-06-15T17:20:02Z,1.161
2022-06-15T17:15:02Z,1.158
2022-06-15T17:10:02Z,1.204
2022-06-15T17:05:02Z,1.17
2022-06-15T17:00:02Z,1.158
2022-06-15T16:55:02Z,1.195
2022-06-15T16:50:02Z,1.193
2022-06-15T16:45:02Z,1.174
2022-06-15T16:40:02Z,1.19
2022-06-15T16:35:02Z,1.176
2022-06-15T16:30:02Z,1.21
2022-06-15T16:25:02Z,1.167
2022-06-15T16:20:02Z,1.175
2022-06-15T16:15:02Z,1.183
2022-06-15T16:10:02Z,1.174
2022-06-15T16:05:02Z,1.217
2022-06-15T16:00:02Z,1.197
2022-06-15T15:55:02Z,1.178
2022-06-15T15:50:02Z,1.215
2022-06-15T15:45:02Z,1.195
2022-06-15T15:40:02Z,1.197
2022-06-15T15:35:02Z,1.176
2022-06-15T15:30:02Z,1.181
2022-06-15T15:25:02Z,1.149
2022-06-15T15:20:02Z,1.195
2022-06-15T15:15:02Z,1.192
2022-06-15T15:10:02Z,1.168
2022-06-15T15:05:02Z,1.191
2022-06-15T15:00:02Z,1.161
2022-06-15T14:55:02Z,1.137
2022-06-15T14:50:02Z,1.158
2022-06-15T14:45:02Z,1.158
2022-06-15T14:40:02Z,1.152
2022-06-15T14:35:02Z,1.123
2022-06-15T14:30:02Z,1.132
2022-06-15T14:25:02Z,1.106
2022-06-15T14:20:02Z,1.126
2022-06-15T14:15:02Z,1.124
2022-06-15T14:10:03Z,1.102
2022-06-15T14:05:03Z,1.113
2022-06-15T14:00:02Z,1.09
2022-06-15T13:55:02Z,1.065
2022-06-15T13:50:02Z,1.093
2022-06-15T13:45:02Z,1.075
2022-06-15T13:40:02Z,1.031
2022-06-15T13:35:02Z,1.093
2022-06-15T13:30:02Z,1.078
2022-06-15T13:25:02Z,1.031
2022-06-15T13:20:02Z,1.118
2022-06-15T13:15:02Z,1.052
2022-06-15T13:10:02Z,1.082
2022-06-15T13:05:02Z,1.097
2022-06-15T13:00:02Z,1.046
2022-06-15T12:55:02Z,1.019
2022-06-15T12:50:02Z,1.057
2022-06-15T12:45:02Z,1.04
2022-06-15T12:40:02Z,1.04
2022-06-15T12:35:02Z,1.069
2022-06-15T12:30:02Z,1.04
2022-06-15T12:25:02Z,1.102
2022-06-15T12:20:02Z,1.037
2022-06-15T12:15:02Z,1.087
2022-06-15T12:10:02Z,1.092
2022-06-15T12:05:02Z,1.07
2022-06-15T12:00:02Z,1.112
2022-06-15T11:55:02Z,1.087
2022-06-15T11:50:02Z,1.089
2022-06-15T11:45:02Z,1.1
2022-06-15T11:40:02Z,1.086
2022-06-15T11:35:02Z,1.126
2022-06-15T11:30:02Z,1.124
2022-06-15T11:25:02Z,1.129
2022-06-15T11:20:02Z,1.153
2022-06-15T11:15:02Z,1.155
2022-06-15T11:10:02Z,1.134
2022-06-15T11:05:02Z,1.161
2022-06-15T11:00:02Z,1.17
2022-06-15T10:55:02Z,1.184
2022-06-15T10:50:02Z,1.191
2022-06-15T10:45:02Z,1.189
2022-06-15T10:40:02Z,1.174
2022-06-15T10:35:02Z,1.198
2022-06-15T10:30:02Z,1.22
2022-06-15T10:25:02Z,1.216
2022-06-15T10:20:02Z,1.226
2022-06-15T10:15:02Z,1.232
2022-06-15T10:10:02Z,1.228
2022-06-15T10:05:02Z,1.229
2022-06-15T10:00:02Z,1.209
2022-06-15T09:55:02Z,1.227
2022-06-15T09:50:02Z,1.207
2022-06-15T09:45:02Z,1.212
2022-06-15T09:40:02Z,1.171
2022-06-15T09:35:02Z,1.17
2022-06-15T09:30:02Z,1.145
2022-06-15T09:25:02Z,1.133
2022-06-15T09:20:02Z,1.142
2022-06-15T09:15:02Z,1.107
2022-06-15T09:10:02Z,1.101
2022-06-15T09:05:02Z,1.093
2022-06-15T09:00:02Z,1.119
2022-06-15T08:55:02Z,1.103
2022-06-15T08:50:02Z,1.084
2022-06-15T08:45:02Z,1.069
2022-06-15T08:40:02Z,1.028
2022-06-15T08:35:02Z,1.023
2022-06-15T08:30:02Z,1.007
2022-06-15T08:25:02Z,1.021
2022-06-15T08:20:02Z,0.984
2022-06-15T08:15:02Z,0.97
