fecha,marea,temperatura
2022-09-02T23:20:00Z,1.577,13.3
2022-09-02T23:15:00Z,1.596,13.3
2022-09-02T23:05:00Z,1.629,13.2
2022-09-02T23:10:00Z,1.619,13.3
2022-09-02T23:00:00Z,1.629,13.2
2022-09-02T22:55:00Z,1.617,13.2
2022-09-02T22:50:00Z,1.612,13.2
2022-09-02T22:45:00Z,1.659,13.2
2022-09-02T22:35:00Z,1.669,13.2
2022-09-02T22:40:00Z,1.659,13.2
2022-09-02T22:30:00Z,1.661,13.2
2022-09-02T22:25:00Z,1.685,13.2
2022-09-02T22:20:00Z,1.692,13.2
2022-09-02T22:15:00Z,1.71,13.3
2022-09-02T22:10:00Z,1.711,13.3
2022-09-02T22:05:00Z,1.694,13.3
2022-09-02T22:00:00Z,1.705,13.3
2022-09-02T21:55:00Z,1.701,13.3
2022-09-02T21:50:00Z,1.685,13.3
2022-09-02T21:45:00Z,1.704,13.3
2022-09-02T21:40:00Z,1.715,13.3
2022-09-02T21:35:00Z,1.71,13.3
2022-09-02T21:30:00Z,1.7,13.3
2022-09-02T21:25:00Z,1.707,13.3
2022-09-02T21:20:00Z,1.711,13.3
2022-09-02T21:15:00Z,1.733,13.4
2022-09-02T21:10:00Z,1.722,13.4
2022-09-02T21:05:00Z,1.716,13.4
2022-09-02T21:00:00Z,1.773,13.4
2022-09-02T20:55:00Z,1.755,13.4
2022-09-02T20:50:00Z,1.759,13.4
2022-09-02T20:45:00Z,1.762,13.4
2022-09-02T20:40:00Z,1.768,13.4
2022-09-02T20:35:00Z,1.77,13.4
2022-09-02T20:25:00Z,1.729,13.4
2022-09-02T20:30:00Z,1.751,13.4
2022-09-02T20:20:00Z,1.772,13.4
2022-09-02T20:15:00Z,1.757,13.4
2022-09-02T20:05:00Z,1.793,13.4
2022-09-02T20:10:00Z,1.765,13.4
2022-09-02T20:00:00Z,1.773,13.4
2022-09-02T19:55:00Z,1.83,13.5
2022-09-02T19:50:00Z,1.821,13.5
2022-09-02T19:45:00Z,1.873,13.4
2022-09-02T19:40:00Z,1.878,13.4
2022-09-02T19:35:00Z,1.863,13.5
2022-09-02T19:30:00Z,1.897,13.5
2022-09-02T19:25:00Z,1.873,13.5
2022-09-02T19:20:00Z,1.854,13.5
2022-09-02T19:15:00Z,1.876,13.5
2022-09-02T19:10:00Z,1.85,13.5
2022-09-02T19:05:00Z,1.811,13.5
2022-09-02T19:00:00Z,1.822,13.5
2022-09-02T18:55:00Z,1.753,13.5
2022-09-02T18:50:00Z,1.788,13.5
2022-09-02T18:45:00Z,1.766,13.5
2022-09-02T18:40:00Z,1.755,13.5
2022-09-02T18:35:00Z,1.784,13.5
2022-09-02T18:30:00Z,1.746,13.5
2022-09-02T18:25:00Z,1.757,13.5
2022-09-02T18:20:00Z,1.752,13.5
2022-09-02T18:15:00Z,1.778,13.5
2022-09-02T18:10:00Z,1.764,13.5
2022-09-02T18:05:00Z,1.725,13.5
2022-09-02T18:00:00Z,1.705,13.5
2022-09-02T17:55:00Z,1.687,13.5
2022-09-02T17:50:00Z,1.694,13.5
2022-09-02T17:40:00Z,1.679,13.4
2022-09-02T17:35:00Z,1.71,13.4
2022-09-02T17:30:00Z,1.714,13.4
2022-09-02T17:45:00Z,1.672,13.4
2022-09-02T17:35:00Z,1.71,13.4
2022-09-02T17:25:00Z,1.731,13.4
2022-09-02T17:15:00Z,1.771,13.4
2022-09-02T17:10:00Z,1.783,13.4
2022-09-02T17:20:00Z,1.771,13.4
2022-09-02T17:15:00Z,1.771,13.4
2022-09-02T17:00:00Z,1.773,13.4
2022-09-02T16:55:00Z,1.763,13.4
2022-09-02T17:05:00Z,1.78,13.4
2022-09-02T17:00:00Z,1.773,13.4
2022-09-02T16:50:00Z,1.764,13.4
2022-09-02T16:40:00Z,1.758,13.4
2022-09-02T16:35:00Z,1.748,13.4
2022-09-02T16:45:00Z,1.754,13.4
2022-09-02T16:30:00Z,1.765,13.4
2022-09-02T16:40:00Z,1.758,13.4
2022-09-02T16:25:00Z,1.774,13.4
2022-09-02T16:20:00Z,1.741,13.4
2022-09-02T16:15:00Z,1.764,13.4
2022-09-02T16:05:00Z,1.729,13.3
2022-09-02T16:10:00Z,1.762,13.4
2022-09-02T16:00:00Z,1.715,13.3
2022-09-02T15:50:00Z,1.729,13.3
2022-09-02T15:45:00Z,1.712,13.3
2022-09-02T15:40:00Z,1.716,13.3
2022-09-02T15:35:00Z,1.708,13.3
2022-09-02T15:55:00Z,1.736,13.3
2022-09-02T15:25:00Z,1.709,13.3
2022-09-02T15:25:00Z,1.709,13.3
2022-09-02T15:50:00Z,1.729,13.3
2022-09-02T15:20:00Z,1.704,13.3
2022-09-02T15:15:00Z,1.699,13.3
2022-09-02T15:45:00Z,1.712,13.3
2022-09-02T15:10:00Z,1.679,13.3
2022-09-02T15:40:00Z,1.716,13.3
2022-09-02T15:30:00Z,1.714,13.3
2022-09-02T15:05:00Z,1.69,13.3
2022-09-02T15:20:00Z,1.704,13.3
2022-09-02T15:00:00Z,1.681,13.3
2022-09-02T15:10:00Z,1.679,13.3
2022-09-02T14:55:00Z,1.675,13.3
2022-09-02T15:05:00Z,1.69,13.3
2022-09-02T14:50:00Z,1.681,13.3
2022-09-02T15:00:00Z,1.681,13.3
2022-09-02T14:55:00Z,1.675,13.3
2022-09-02T14:45:00Z,1.68,13.3
2022-09-02T14:40:00Z,1.659,13.3
2022-09-02T14:35:00Z,1.636,13.3
2022-09-02T14:30:00Z,1.623,13.3
2022-09-02T14:25:00Z,1.584,13.3
2022-09-02T14:20:00Z,1.573,13.3
2022-09-02T14:15:00Z,1.531,13.3
2022-09-02T14:10:00Z,1.553,13.3
2022-09-02T14:05:00Z,1.545,13.3
2022-09-02T14:00:00Z,1.523,13.3
2022-09-02T13:55:00Z,1.5,13.3
2022-09-02T13:45:00Z,1.493,13.2
2022-09-02T13:50:00Z,1.518,13.3
2022-09-02T13:35:00Z,1.5,13.2
2022-09-02T13:40:00Z,1.507,13.2
2022-09-02T13:30:00Z,1.507,13.2
2022-09-02T13:20:00Z,1.49,13.2
2022-09-02T13:15:00Z,1.519,13.2
2022-09-02T13:10:00Z,1.497,13.2
2022-09-02T13:25:00Z,1.5,13.2
2022-09-02T13:20:00Z,1.49,13.2
2022-09-02T13:15:00Z,1.519,13.2
2022-09-02T13:05:00Z,1.49,13.2
2022-09-02T12:55:00Z,1.5,13.2
2022-09-02T12:50:00Z,1.502,13.2
2022-09-02T13:00:00Z,1.488,13.2
2022-09-02T12:40:00Z,1.519,13.2
2022-09-02T12:35:00Z,1.513,13.2
2022-09-02T12:45:00Z,1.503,13.2
2022-09-02T12:40:00Z,1.519,13.2
2022-09-02T12:30:00Z,1.518,13.2
2022-09-02T12:25:00Z,1.549,13.2
2022-09-02T12:20:00Z,1.541,13.2
2022-09-02T12:15:00Z,1.557,13.2
2022-09-02T12:10:00Z,1.585,13.2
2022-09-02T12:05:00Z,1.592,13.2
2022-09-02T12:00:00Z,1.574,13.2
2022-09-02T11:55:00Z,1.591,13.2
2022-09-02T11:50:00Z,1.602,13.3
2022-09-02T11:40:00Z,1.628,13.3
2022-09-02T11:45:00Z,1.602,13.3
2022-09-02T11:35:00Z,1.637,13.3
2022-09-02T11:30:00Z,1.615,13.3
